index;id;x;y;lote;quadra;idLote;idQuadra
3277;1149;255630;7242045;L3280;Q36;6;2
3278;1150;255630;7242060;L3280;Q36;6;2
3279;1151;255630;7242075;L3280;Q36;6;2
3280;1152;255630;7242090;L3280;Q36;6;2
3281;1153;255645;7241985;L3280;Q36;6;2
3282;1154;255645;7242000;L3280;Q36;6;2
3283;1155;255645;7242015;L3280;Q36;6;2
3284;1156;255645;7242030;L3280;Q36;6;2
3285;1157;255645;7242045;L3280;Q36;6;2
3286;1158;255645;7242060;L3280;Q36;6;2
3287;1159;255645;7242075;L3280;Q36;6;2
3288;1160;255645;7242090;L3280;Q36;6;2
3289;1161;255660;7241985;L3280;Q36;6;2
3290;1162;255660;7242000;L3280;Q36;6;2
3291;1163;255660;7242015;L3280;Q36;6;2
3292;1164;255660;7242030;L3280;Q36;6;2
3293;1165;255660;7242045;L3280;Q36;6;2
3294;1166;255660;7242060;L3280;Q36;6;2
3295;1167;255660;7242075;L3280;Q36;6;2
3296;1168;255660;7242090;L3280;Q36;6;2
3297;1169;255675;7241985;L3280;Q36;6;2
3298;1170;255675;7242000;L3280;Q36;6;2
3299;1171;255675;7242015;L3280;Q36;6;2
3301;1219;255795;7241985;L3282;Q36;7;2
3347;1247;255765;7241940;L3283;Q36;8;2
3356;1256;255780;7241955;L3283;Q36;8;2
3366;1266;255810;7241865;L3283;Q36;8;2
3389;1299;255780;7241805;L3284;Q36;9;2
3390;1298;255780;7241790;L3284;Q36;9;2
3403;1273;255735;7241775;L3284;Q36;9;2
3404;1274;255735;7241790;L3284;Q36;9;2
3413;1285;255765;7241715;L3284;Q36;9;2
3415;1275;255735;7241805;L3284;Q36;9;2
3420;1328;255660;7241745;L3285;Q36;10;2
3450;1338;255675;7241775;L3285;Q36;10;2
3471;1392;255600;7241730;L3286;Q36;11;2
3473;1394;255600;7241760;L3286;Q36;11;2
3474;1395;255600;7241775;L3286;Q36;11;2
3475;1396;255600;7241790;L3286;Q36;11;2
3480;1361;255540;7241745;L3286;Q36;11;2
3493;1374;255570;7241700;L3286;Q36;11;2
3508;2811;255465;7241715;L3287;Q36;12;2
3525;2795;255435;7241715;L3287;Q36;12;2
3527;2841;255510;7241805;L3287;Q36;12;2
3538;2829;255495;7241745;L3287;Q36;12;2
3551;3263;255495;7240815;L3296;Q36;13;2
3563;3275;255525;7240755;L3296;Q36;13;2
3577;3247;255465;7240815;L3296;Q36;13;2
3580;3250;255480;7240740;L3296;Q36;13;2
3586;3256;255480;7240830;L3296;Q36;13;2
3596;1651;255450;7240935;L3297;Q36;14;2
3598;1653;255450;7240965;L3297;Q36;14;2
3607;1662;255480;7240860;L3297;Q36;14;2
3624;1679;255510;7240875;L3297;Q36;14;2
3631;1686;255525;7240860;L3297;Q36;14;2
3653;1728;255510;7241010;L3298;Q36;15;2
3660;1721;255495;7241025;L3298;Q36;15;2
3697;3522;255615;7241595;L3299;Q36;16;2
3723;3500;255570;7241625;L3299;Q36;16;2
3745;1759;255570;7241475;L3300;Q36;17;2
3757;1771;255600;7241415;L3300;Q36;17;2
3762;1776;255600;7241490;L3300;Q36;17;2
3778;1829;255510;7241655;L3301;Q36;18;2
3797;1811;255480;7241625;L3301;Q36;18;2
3804;1804;255465;7241640;L3301;Q36;18;2
3812;1796;255450;7241640;L3301;Q36;18;2
3817;1790;255435;7241655;L3301;Q36;18;2
3818;1789;255435;7241640;L3301;Q36;18;2
3823;1869;255510;7241490;L3302;Q36;19;2
3826;1866;255510;7241445;L3302;Q36;19;2
3829;1863;255495;7241520;L3302;Q36;19;2
3837;1855;255480;7241520;L3302;Q36;19;2
3840;1852;255480;7241475;L3302;Q36;19;2
3845;1847;255465;7241520;L3302;Q36;19;2
3856;1835;255450;7241460;L3302;Q36;19;2
3858;1833;255450;7241430;L3302;Q36;19;2
3865;1881;255465;7241280;L3303;Q36;20;2
3875;1888;255465;7241385;L3303;Q36;20;2
3904;1917;255525;7241340;L3303;Q36;20;2
3907;1920;255525;7241385;L3303;Q36;20;2
3921;1933;255555;7241340;L3303;Q36;20;2
3924;1936;255555;7241385;L3303;Q36;20;2
3929;1941;255570;7241340;L3303;Q36;20;2
3945;1957;255600;7241340;L3303;Q36;20;2
3956;2010;255525;7241160;L3304;Q36;21;2
3957;1970;255450;7241130;L3304;Q36;21;2
3958;1971;255450;7241145;L3304;Q36;21;2
3959;1972;255450;7241160;L3304;Q36;21;2
3960;1973;255450;7241175;L3304;Q36;21;2
3961;1974;255450;7241190;L3304;Q36;21;2
3962;1975;255450;7241205;L3304;Q36;21;2
3963;1976;255450;7241220;L3304;Q36;21;2
3964;1977;255450;7241235;L3304;Q36;21;2
3965;1978;255465;7241130;L3304;Q36;21;2
3966;1979;255465;7241145;L3304;Q36;21;2
3967;1980;255465;7241160;L3304;Q36;21;2
3968;1981;255465;7241175;L3304;Q36;21;2
3969;1982;255465;7241190;L3304;Q36;21;2
3970;1983;255465;7241205;L3304;Q36;21;2
3971;1984;255465;7241220;L3304;Q36;21;2
3972;1985;255465;7241235;L3304;Q36;21;2
3973;1986;255480;7241130;L3304;Q36;21;2
3974;1987;255480;7241145;L3304;Q36;21;2
3975;1988;255480;7241160;L3304;Q36;21;2
3976;1989;255480;7241175;L3304;Q36;21;2
3977;1990;255480;7241190;L3304;Q36;21;2
3978;1991;255480;7241205;L3304;Q36;21;2
3979;1992;255480;7241220;L3304;Q36;21;2
3980;1993;255480;7241235;L3304;Q36;21;2
3981;1994;255495;7241145;L3304;Q36;21;2
3982;1995;255495;7241160;L3304;Q36;21;2
3983;1996;255495;7241175;L3304;Q36;21;2
3984;1997;255495;7241190;L3304;Q36;21;2
3985;1998;255495;7241205;L3304;Q36;21;2
3986;1999;255495;7241220;L3304;Q36;21;2
3987;2000;255495;7241235;L3304;Q36;21;2
3988;2001;255510;7241145;L3304;Q36;21;2
3989;2002;255510;7241160;L3304;Q36;21;2
3990;2003;255510;7241175;L3304;Q36;21;2
3991;2004;255510;7241190;L3304;Q36;21;2
3992;2005;255510;7241205;L3304;Q36;21;2
3993;2006;255510;7241220;L3304;Q36;21;2
3994;2007;255510;7241235;L3304;Q36;21;2
3995;2008;255510;7241250;L3304;Q36;21;2
3996;2009;255525;7241145;L3304;Q36;21;2
3997;2011;255525;7241175;L3304;Q36;21;2
3998;2012;255525;7241190;L3304;Q36;21;2
3999;2013;255525;7241205;L3304;Q36;21;2
4000;2014;255525;7241220;L3304;Q36;21;2
4010;2024;255570;7241145;L3305;Q36;22;2
4024;2039;255585;7241250;L3305;Q36;22;2
4026;2041;255600;7241160;L3305;Q36;22;2
4031;2046;255600;7241235;L3305;Q36;22;2
4036;2051;255615;7241190;L3305;Q36;22;2
4040;2055;255615;7241250;L3305;Q36;22;2
4041;2094;255615;7241070;L3306;Q36;23;2
4042;2057;255555;7240995;L3306;Q36;23;2
4043;2058;255555;7241010;L3306;Q36;23;2
4044;2059;255555;7241025;L3306;Q36;23;2
4045;2060;255555;7241040;L3306;Q36;23;2
4046;2061;255555;7241055;L3306;Q36;23;2
4047;2062;255555;7241070;L3306;Q36;23;2
4048;2063;255555;7241085;L3306;Q36;23;2
4049;2064;255555;7241100;L3306;Q36;23;2
4050;2065;255570;7240995;L3306;Q36;23;2
4051;2066;255570;7241010;L3306;Q36;23;2
4052;2067;255570;7241025;L3306;Q36;23;2
4053;2068;255570;7241040;L3306;Q36;23;2
4054;2069;255570;7241055;L3306;Q36;23;2
4055;2070;255570;7241070;L3306;Q36;23;2
4056;2071;255570;7241085;L3306;Q36;23;2
4057;2072;255570;7241100;L3306;Q36;23;2
4058;2073;255585;7240995;L3306;Q36;23;2
4059;2074;255585;7241010;L3306;Q36;23;2
4060;2075;255585;7241025;L3306;Q36;23;2
4061;2095;255615;7241085;L3306;Q36;23;2
4062;2076;255585;7241040;L3306;Q36;23;2
4063;2077;255585;7241055;L3306;Q36;23;2
4064;2078;255585;7241070;L3306;Q36;23;2
4065;2079;255585;7241085;L3306;Q36;23;2
4066;2080;255585;7241100;L3306;Q36;23;2
